['002791c4', 'Map:OB32_2', '00278640', '00279664', 'controller', 'Others', [], [], '00f55b3c']
['002791d8', 'Cxn:Standard:80792bb5', '0c07ae38', '0027968c', 'controller', [], [], [], '00f55b3c']
['002791f8', 'Map:IF8', '002785e0', '002796b4', 'controller', 'Others', [], [], '00f55b3c']
['00279208', 'Local:7:C', '000805e4', '002796dc', 'controller', 'IO_TAG', 'cc', ['c8', '0', '0', '0', '24', '0', '0', '0', '1', '2', '64', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'a0', '41', '0', '0', '0', '0', '0', '0', 'c8', '42', '0', '0', '20', 'c1', '0', '0', '20', '41', '0', '0', '20', 'c1', '0', '0', '20', '41', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'a0', '41', '0', '0', '0', '0', '0', '0', 'c8', '42', '0', '0', '20', 'c1', '0', '0', '20', '41', '0', '0', '20', 'c1', '0', '0', '20', '41', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'a0', '41', '0', '0', '0', '0', '0', '0', 'c8', '42', '0', '0', '20', 'c1', '0', '0', '20', '41', '0', '0', '20', 'c1', '0', '0', '20', '41', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'a0', '41', '0', '0', '0', '0', '0', '0', 'c8', '42', '0', '0', '20', 'c1', '0', '0', '20', '41', '0', '0', '20', 'c1', '0', '0', '20', '41', '0', '0', '0', '0', '0', '0', '0', '0'], '00f55b3c']
['0027921c', 'Program:MainProgram', '002794f4', '00279704', 'controller', 'Program', [], [], '00f55b3c']
['00279238', 'Map:Local', '0027eac4', '0027972c', 'controller', 'Others', [], [], '00f55b3c']
['0027924c', 'Local:7:I', '0c0041b0', '00279754', 'controller', 'IO_TAG', '1c', ['f', '0', '0', '80', '25', '25', '25', '25', 'c3', 'd2', 'cd', '42', 'c3', 'd2', 'cd', '42', 'c3', 'd2', 'cd', '42', 'c3', 'd2', 'cd', '42', '16', '5b', 'cd', '42'], '00f55b3c']
['00279260', 'Local:5:C', '000807a0', '0027977c', 'controller', 'IO_TAG', '20', ['1c', '0', '0', '0', '12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0'], '00f55b3c']
['00279274', 'Local:5:O', '0c0041e4', '002797a4', 'controller', 'IO_TAG', '4', ['41', '44', '41', '44'], '00f55b3c']
['00279288', 'Cxn:Input:9b6fd05e', '0c07acc4', '002797cc', 'controller', [], [], [], '00f55b3c']
['002792a4', 'Local:6:O', '0c004070', '002797f4', 'controller', 'IO_TAG', '4', ['41', '42', '41', '42'], '00f55b3c']
['002792b8', 'Task:MainTask', '00277678', '0027981c', 'controller', 'Others', [], [], '00f55b3c']
['002792d0', 'TAG_1_CONT', '000807d8', '00279844', 'controller', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['002792e4', 'Cxn:Standard:ff835ad1', '0c07ad7c', '0027986c', 'controller', [], [], [], '00f55b3c']
['00279304', 'Program:PROGRAM2', '00279388', '00279894', 'controller', 'Program', [], [], '00f55b3c']
['00279320', 'Local:6:I', '0c004170', '002798bc', 'controller', 'IO_TAG', '8', ['0', '0', '0', '0', '41', '42', '41', '42'], '00f55b3c']
['00279334', 'Local:5:I', '0c004190', '002798e4', 'controller', 'IO_TAG', '8', ['0', '0', '0', '0', '41', '44', '41', '44'], '00f55b3c']
['00279348', 'Map:OB32_NAMED_AFTER_DISCOVERY', '002786a0', '0027990c', 'controller', 'Others', [], [], '00f55b3c']
['00279370', 'Local:6:C', '000806c8', '00279934', 'controller', 'IO_TAG', '20', ['1c', '0', '0', '0', '12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0'], '00f55b3c']
['00278950', 'PROG_TAG_5W', '00080100', '00278c2c', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00278964', 'PROG_TAG_5L', '00080330', '00278c54', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00278978', 'PROG_TAG_5E', '00080088', '00278c7c', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['0027898c', 'PROGRAM_TAG_2', '0008034c', '00278ca4', 'Program:MainProgram', 'IO_TAG', '2', ['0', '0'], '00f55b3c']
['002789a4', 'PROG_TAG_5C', '000802a4', '00278ccc', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['002789b8', 'Routine:MainRoutine', '0027888c', '00278cf4', 'Program:MainProgram', 'Routine', [], [], '00f55b3c']
['002789d4', 'PROG_TAG_5S', '00080234', '00278d1c', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['002789e8', 'PROG_TAG_7', '000803bc', '00278d44', 'Program:MainProgram', 'IO_TAG', '58', ['1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '80', '3f', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0'], '00f55b3c']
['002789fc', 'PROG_TAG_8', '000800c0', '00278d6c', 'Program:MainProgram', 'IO_TAG', 'c', ['1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0'], '00f55b3c']
['00278a10', 'PROG_TAG_5K', '000802dc', '00278d94', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00278a24', 'PTAG5A', '000803a0', '00278dbc', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00278a34', 'PROG_TAG_5M', '00080464', '00278de4', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00278a48', 'PROG_TAG_5I', '0008011c', '00278e0c', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00278a5c', 'TAG10', '00080170', '00278e34', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00278a6c', 'PROG_TAG_5G', '00080138', '00278e5c', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00278a80', 'PROG_TAG_5B', '00080314', '00278e84', 'Program:MainProgram', 'IO_TAG', '4', ['42', '42', '42', '42'], '00f55b3c']
['00278a94', 'PROGRAM_TAG_4', '00080288', '00278eac', 'Program:MainProgram', 'IO_TAG', '2', ['41', '44'], '00f55b3c']
['00278aac', 'PROG_TAG_5N', '000802f8', '00278ed4', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
['00278ac0', 'PROG_TAG_5U', '00080018', '00278efc', 'Program:MainProgram', 'IO_TAG', '4', ['0', '0', '0', '0'], '00f55b3c']
