['Time Zone:', 'GMT+00:00']
['IP Address:', '"192.168.1.2"']
['Current Project Name:', 'project2']
['Device Catalog Name:', '1756-L61/B LOGIX5561']
['Revision No:', '20.019.098']
['xml file', 'Confidence LOW', '<?xml version="1.0" encoding="UTF-8" ?>\n<Controller>\n<ExecutiveLoadOption>\n    <ExecFile>\\Logix\\CurrentApp\\Executive.bin</ExecFile>\n</ExecutiveLoadOption>\n<ProgramLoadOption>\n    <ProgramLoadMode>USER_INITIATED</ProgramLoadMode>\n    <LoadFile>\\Logix\\CurrentApp\\project2.p5k</LoadFile>\n</ProgramLoadOption>\n<ControllerModeOption>\n    <ControllerMode>PROGRAM</ControllerMode>\n</ControllerModeOption>\n<VersionControl>\n    <Version>02.020.019.098</Version>\n</VersionControl>\n<FirmwareSupervisor>\n    <UpdateMode>IN_ACTIVE</UpdateMode>\n</FirmwareSupervisor>\n</Controller>ring>\r\n\t\t\t<ACproductNameString>LOGIX5561</ACproductNameString>\r\n            <HWMajorRevision>2</HWMajorRevision>\r\n            <HWMinorRevision>1</HWMinorRevision>\r\n\t\t</DeviceIdentity>\r\n\t</DeviceIdentities> \r\n\t<UserDTMemorySize>2097152</UserDTMemorySize>\r\n\t<UserIOMemorySize>505856</UserIOMemorySize>\r\n</LogixController>\r\n']
['SD Card Files: ', '\\Logix\\CurrentApp\\project2.p5k', '\\Logix\\CurrentApp\\Executive.bin']
['SD_Load_Mode', 'PROGRAM']
['SD_Load_Image', 'USER_INITIATED']
['Time since PLC restart: ', 889]
['Desktop Name: ', 'DESKTOP-RSRBUGJ\\safe']
['ControllerLog: ', [1, 'project2'], [2, 'RUN'], [3, 'PROG'], [4, 'THIS_IS_A_LENGTHY_NAME_FOR_CONTROLLER'], [5, 'ConName_OUR_CONTROLLER'], [6, 'RUN'], [7, 'PROG'], [8, 'ConName_OUR_CONTROLLER'], [9, 'RUN'], [10, 'TEST'], [11, 'PROG'], [12, 'RUN'], [13, 'PROG'], [14, 'project2'], [15, 'RUN'], [16, 'TEST'], [17, 'PROG'], [18, 'RUN'], [19, 'PROG']]
