00d03c90 , 00f5edf8>fffe5ef0
00d03c94 , 00f5b774>fffe9574
00d03c98 , 00f59ae8>ffda9fac


00d03eb8 , 00f5ed54>000195fc
00d03ebc , 00f59bc8>fffeb120
00d03ec0 , 00f53864>ffff1484
00d03ec4 , 00f55720>fff63a7c
00d03ec8 , 00f5b620>fff5db7c
00d03ecc , 00f5c860>0001baf0


00d09670 , 00fac294>2e5c2e2e
00d09674 , 00fac344>2e5c2e2e
00d09678 , 00d05318>2e5c2e2e


00d0ae24 , 00f5ee08>fffe5ee0
00d0ae28 , 00f5b774>fffe9574
00d0ae2c , 00f5b9dc>ffdaf24c


00d0b738 , 00f5ecb0>00019684
00d0b73c , 00f59bc8>fffeb120
00d0b740 , 00f53864>ffff1484
00d0b744 , 00f55720>fff63a7c
00d0b748 , 00f5b620>fff5db7c
00d0b74c , 00f5d090>0001b2a4


00d1da70 , 00facc20>2e5c2e2e
00d1da74 , 00d1d298>e92d4070
00d1da78 , 00f7f384>00d35290


00d221c8 , 00f7f3cc>00d35290
00d221cc , 00d212a0>e3520001
00d221d0 , 00facc20>2e5c2e2e
00d221d4 , 00f54c54>ffdc9ad0


00d2eae8 , 00f7f81c>00d35290
00d2eaec , 00f7f834>00d35290
00d2eaf0 , 00fac9cc>2e5c2e2e


00d2ef5c , 00f7f9f4>00d35290
00d2ef60 , 00f7f844>00d35e40
00d2ef64 , 00f7fa14>00d35290


00d3b1a0 , 00d3ac40>e92d4070
00d3b1a4 , 00f7fd28>00d35290
00d3b1a8 , 00d3a2f8>2e5c2e2e


00d3d8e4 , 00f9b10c>00d35290
00d3d8e8 , 00d3ce00>2e5c2e2e
00d3d8ec , 00f5e83c>ffddcd30


00d433fc , 00d436b0>e3a01f8c
00d43400 , 00d436a4>e3a01f91
00d43404 , 00d434e8>e92d40f8


00d436c8 , 00f4ca78>e3a01050
00d436cc , 00d43408>e92d40f8
00d436d0 , 00f9b788>2e5c2e2e


00d43988 , 00d00010>00d00000
00d4398c , 00d00014>002c0000
00d43990 , 00f72e9c>e1a0c00d


00d45854 , 00f7f4f4>00d35290
00d45858 , 00fa4a9c>00d35290
00d4585c , 00fa4b08>00d35290
00d45860 , 00f7f534>00d35290


00d458b0 , 00fa5c94>00d35290
00d458b4 , 00fa5b94>00d35290
00d458b8 , 00fa0f84>00d35290
00d458bc , 00fa0abc>00d35290


00d45e68 , 00fa27dc>00d35e40
00d45e6c , 00f7f5b4>00d35e40
00d45e70 , 00f7f270>00d35290


00d67f38 , 00faccb8>00058188
00d67f3c , 00faccd8>00034510
00d67f40 , 00faccd4>00023c78
00d67f44 , 00faccc8>00023bcc
00d67f48 , 00facccc>000000ac


00d69038 , 00d67fc4>52524f43
00d6903c , 00d67f78>52524f43
00d69040 , 00d67fe4>52455355
00d69044 , 00d67f84>52455355


00d69be4 , 00d68fac>6d783f3c
00d69be8 , 00d68fd8>6e6f433c
00d69bec , 00d68ffc>20202020
00d69bf0 , 00d6900c>6578455c


00d6a7d8 , 00f9d620>00f9d754
00d6a7dc , 00f9d7e8>00f9d820
00d6a7e0 , 00f9d830>00f9d884
00d6a7e4 , 00f9d890>00f9d8e4
00d6a7e8 , 00f9d904>00f9da70
00d6a7ec , 00f9db74>00f9dbe0
00d6a7f0 , 00f9dc10>00f9dc98
00d6a7f4 , 00f9dce4>00f9dcfc
00d6a7f8 , 00f9dd0c>00f9dd24
00d6a7fc , 00f9dd2c>00f9dd44
00d6a800 , 00f9dd50>00f9ddd4


00d6db24 , 00f9df98>00d35290
00d6db28 , 00f9dff0>00d35290
00d6db2c , 00f9df40>00d35e40


00d71fac , 00d00004>00621314
00d71fb0 , 00d00005>78006213
00d71fb4 , 00d00006>56780062


00d72b74 , 00faccc4>00023bcc
00d72b78 , 00facccc>000000ac
00d72b7c , 00faccd0>00023c78
00d72b80 , 00faccc8>00023bcc
00d72b84 , 00faccd8>00034510
00d72b88 , 00faccd4>00023c78
00d72b8c , 00faccb4>00056948
00d72b90 , 00faccc0>0002238c
00d72b94 , 00faccbc>00001840
00d72b98 , 00faccdc>00058188
00d72b9c , 00faccb8>00058188
00d72ba0 , 00faccb0>00001840
00d72ba4 , 00faccf0>00000020
00d72ba8 , 00facce8>00face14
00d72bac , 00faccec>00000000
00d72bb0 , 00faccfc>0000031c
00d72bb4 , 00faccf4>00face34
00d72bb8 , 00faccf8>00000400
00d72bbc , 00facd08>000000fc
00d72bc0 , 00facd00>00facd18
00d72bc4 , 00facd04>00facd18


00d72be8 , 00d00010>00d00000
00d72bec , 00d00014>002c0000
00d72bf0 , 00f7ee8c>00000000


