00d6a7d8 , 00f9d620>00f9d754
00d6a7dc , 00f9d7e8>00f9d820
00d6a7e0 , 00f9d830>00f9d884
00d6a7e4 , 00f9d890>00f9d8e4
00d6a7e8 , 00f9d904>00f9da70
00d6a7ec , 00f9db74>00f9dbe0
00d6a7f0 , 00f9dc10>00f9dc98
00d6a7f4 , 00f9dce4>00f9dcfc
00d6a7f8 , 00f9dd0c>00f9dd24
00d6a7fc , 00f9dd2c>00f9dd44
00d6a800 , 00f9dd50>00f9ddd4
Table No: 1
00d72b74 , 00faccc4>00023bcc
00d72b78 , 00facccc>000000ac
00d72b7c , 00faccd0>00023c78
00d72b80 , 00faccc8>00023bcc
00d72b84 , 00faccd8>00034510
00d72b88 , 00faccd4>00023c78
00d72b8c , 00faccb4>00056948
00d72b90 , 00faccc0>0002238c
00d72b94 , 00faccbc>00001840
00d72b98 , 00faccdc>00058188
00d72b9c , 00faccb8>00058188
00d72ba0 , 00faccb0>00001840
00d72ba4 , 00faccf0>00000020
00d72ba8 , 00facce8>00face14
00d72bac , 00faccec>00000000
00d72bb0 , 00faccfc>0000031c
00d72bb4 , 00faccf4>00face34
00d72bb8 , 00faccf8>00000400
00d72bbc , 00facd08>000000fc
00d72bc0 , 00facd00>00facd18
00d72bc4 , 00facd04>00facd18
Table No: 2
00dcf560 , 00dd7b7c>e92d4030
00dcf564 , 00de2bd4>e92d4030
00dcf568 , 00dda9e4>e92d43f8
00dcf56c , 00ddaaf4>e92d4bf0
00dcf570 , 00de24c8>e92d4bf0
00dcf574 , 00de1808>e92d4bf0
00dcf578 , 00de1188>e92d4bf0
00dcf57c , 00dd74d8>e92d4bf0
00dcf580 , 00de0d30>e92d4bf0
00dcf584 , 00de3088>e92d4bf0
00dcf588 , 00de32dc>e92d4bf0
00dcf58c , 00dd6ef4>e92d4bf0
00dcf590 , 00ddff9c>e92d4bf0
00dcf594 , 00ddf698>e92d4bf0
00dcf598 , 00ddf574>e92d4bf0
00dcf59c , 00ddeb90>e92d4bf0
00dcf5a0 , 00dde060>e92d4bf0
00dcf5a4 , 00ddd4b8>e92d4bf0
00dcf5a8 , 00ddca54>e92d4bf0
00dcf5ac , 00de354c>e92d4bf1
00dcf5b0 , 00de4134>e92d4bf0
00dcf5b4 , 00ddba9c>e92d4bf0
00dcf5b8 , 00ddb974>e92d43f8
00dcf5bc , 00ddb694>e92d4bf0
00dcf5c0 , 00ddb530>e92d43f8
00dcf5c4 , 00dda374>e92d4bf0
00dcf5c8 , 00dda1f4>e92d4bf0
00dcf5cc , 00dd9ca0>e92d4bf0
00dcf5d0 , 00dd9a08>e92d4bf0
00dcf5d4 , 00dd968c>e92d4bf0
00dcf5d8 , 00dd90fc>e92d4bf0
00dcf5dc , 00dd8d2c>e92d4bf0
00dcf5e0 , 00dd8aa0>e92d4bf0
00dcf5e4 , 00dd8744>e92d43f8
00dcf5e8 , 00dd858c>e92d4bf0
00dcf5ec , 00dd8418>e92d43f8
00dcf5f0 , 00ddc4b0>e92d4bf0
00dcf5f4 , 00ddc35c>e92d41f0
00dcf5f8 , 00dd8168>e92d4bf0
00dcf5fc , 00dd7ea4>e92d4bf0
00dcf600 , 00dd7c18>e92d4bf0
00dcf604 , 00dd65c0>e92d4bf0
00dcf608 , 00dd6454>e92d4bf0
Table No: 3
00ddc830 , 00ddba9c>e92d4bf0
00ddc834 , 00ddb974>e92d43f8
00ddc838 , 00ddb694>e92d4bf0
00ddc83c , 00ddb530>e92d43f8
00ddc840 , 00ddaaf4>e92d4bf0
00ddc844 , 00dda9e4>e92d43f8
00ddc848 , 00dda374>e92d4bf0
00ddc84c , 00dda1f4>e92d4bf0
00ddc850 , 00dd9ca0>e92d4bf0
00ddc854 , 00dd9a08>e92d4bf0
00ddc858 , 00dd968c>e92d4bf0
00ddc85c , 00dd90fc>e92d4bf0
00ddc860 , 00dd8d2c>e92d4bf0
00ddc864 , 00dd8aa0>e92d4bf0
00ddc868 , 00dd88ac>e92d43f8
00ddc86c , 00dd8744>e92d43f8
00ddc870 , 00dd858c>e92d4bf0
00ddc874 , 00dd8418>e92d43f8
00ddc878 , 00dd8168>e92d4bf0
00ddc87c , 00dd7ea4>e92d4bf0
00ddc880 , 00dd7c18>e92d4bf0
00ddc884 , 00dd7b7c>e92d4030
00ddc888 , 00dd74d8>e92d4bf0
00ddc88c , 00dd6ef4>e92d4bf0
00ddc890 , 00dd65c0>e92d4bf0
00ddc894 , 00dd6454>e92d4bf0
Table No: 4
00de3cb8 , 00dd7b7c>e92d4030
00de3cbc , 00de2bd4>e92d4030
00de3cc0 , 00de24c8>e92d4bf0
00de3cc4 , 00de1808>e92d4bf0
00de3cc8 , 00de1188>e92d4bf0
00de3ccc , 00dd74d8>e92d4bf0
00de3cd0 , 00de0d30>e92d4bf0
00de3cd4 , 00dd6ef4>e92d4bf0
00de3cd8 , 00ddff9c>e92d4bf0
00de3cdc , 00ddf698>e92d4bf0
00de3ce0 , 00ddf574>e92d4bf0
00de3ce4 , 00ddeb90>e92d4bf0
00de3ce8 , 00dde060>e92d4bf0
00de3cec , 00ddd4b8>e92d4bf0
00de3cf0 , 00ddca54>e92d4bf0
00de3cf4 , 00ddba9c>e92d4bf0
00de3cf8 , 00ddb974>e92d43f8
00de3cfc , 00ddb694>e92d4bf0
00de3d00 , 00ddb530>e92d43f8
00de3d04 , 00dda9e4>e92d43f8
00de3d08 , 00ddaaf4>e92d4bf0
00de3d0c , 00dda374>e92d4bf0
00de3d10 , 00dda1f4>e92d4bf0
00de3d14 , 00dd9ca0>e92d4bf0
00de3d18 , 00dd9a08>e92d4bf0
00de3d1c , 00dd968c>e92d4bf0
00de3d20 , 00dd90fc>e92d4bf0
00de3d24 , 00dd8d2c>e92d4bf0
00de3d28 , 00dd8aa0>e92d4bf0
00de3d2c , 00dd88ac>e92d43f8
00de3d30 , 00dd8744>e92d43f8
00de3d34 , 00dd858c>e92d4bf0
00de3d38 , 00dd8418>e92d43f8
00de3d3c , 00ddc4b0>e92d4bf0
00de3d40 , 00ddc35c>e92d41f0
00de3d44 , 00dd7c18>e92d4bf0
00de3d48 , 00dd8168>e92d4bf0
00de3d4c , 00dd7ea4>e92d4bf0
00de3d50 , 00dd65c0>e92d4bf0
00de3d54 , 00dd6454>e92d4bf0
Table No: 5
00def780 , 00de47e4>e92d40f0
00def784 , 00de4fdc>e92d4bff
00def788 , 00de8738>e92d4bf0
00def78c , 00de9a9c>e92d4bf0
00def790 , 00d78b20>e92d4bf0
00def794 , 00d78d58>e92d4070
00def798 , 00dc741c>e1a00001
00def79c , 00dc7428>e1a00001
00def7a0 , 00def0ac>e3a00001
00def7a4 , 00def258>e3a00003
00def7a8 , 00def350>e3a00002
Table No: 6
00e35e04 , 00fa2c14>00000054
00e35e08 , 00fa2cec>00000008
00e35e0c , 00fa364c>00000003
00e35e10 , 00fa3790>00000003
00e35e14 , 00fa3928>00000003
00e35e18 , 00fa3acc>00000003
00e35e1c , 00fa3c94>0000000e
00e35e20 , 00fa3d84>00000003
00e35e24 , 00fa3f40>00000003
00e35e28 , 00fa42e8>00000003
00e35e2c , 00fa44c8>00000003
00e35e30 , 00fa2ba8>0000000e
00e35e34 , 00fa2be4>00000001
00e35e38 , 00fa2c74>0000000e
00e35e3c , 00fa2ca4>00000003
00e35e40 , 00fa2d1c>00000003
00e35e44 , 00fa2d70>00000003
00e35e48 , 00fa2dac>0000004b
00e35e4c , 00fa2de8>00000003
00e35e50 , 00fa2e6c>00000008
00e35e54 , 00fa2efc>00000003
00e35e58 , 00fa2fbc>00000003
00e35e5c , 00fa3040>00000003
00e35e60 , 00fa30c4>00000003
00e35e64 , 00fa31c0>00000003
00e35e68 , 00fa322c>00000003
00e35e6c , 00fa3280>00000003
00e35e70 , 00fa3304>00000008
00e35e74 , 00fa33ac>00000003
00e35e78 , 00fa346c>00000003
00e35e7c , 00fa34b4>00000003
00e35e80 , 00fa34e4>00000003
00e35e84 , 00fa352c>00000003
00e35e88 , 00fa358c>00000003
00e35e8c , 00fa3604>00000003
00e35e90 , 00fa3688>00000003
00e35e94 , 00fa36b8>00000003
00e35e98 , 00fa3724>00000003
00e35e9c , 00fa38d4>0000000e
00e35ea0 , 00fa3988>00000003
00e35ea4 , 00fa39dc>00000003
00e35ea8 , 00fa3a54>00000003
00e35eac , 00fa3b38>00000003
00e35eb0 , 00fa3bf8>00000003
00e35eb4 , 00fa3cb8>00000003
00e35eb8 , 00fa3ce8>00000003
00e35ebc , 00fa3d30>00000003
00e35ec0 , 00fa3dcc>00000003
00e35ec4 , 00fa3e2c>00000003
00e35ec8 , 00fa3fa0>00000003
00e35ecc , 00fa4078>00000003
00e35ed0 , 00fa41b0>00000003
00e35ed4 , 00fa439c>00000003
00e35ed8 , 00fa4450>00000003
Table No: 7
00e95488 , 00f54920>ffff03c8
00e9548c , 00f59bc8>fffeb120
00e95490 , 00f53864>ffff1484
00e95494 , 00f55720>fff63a7c
00e95498 , 00f557f4>fffef4f4
00e9549c , 00f5b620>fff5db7c
00e954a0 , 00f5b6f4>00000040
00e954a4 , 00f5986c>fff402bc
00e954a8 , 00f74fd4>e92d4008
00e954ac , 00f751b4>e92d4008
00e954b0 , 00fa75ac>00d35290
Table No: 8
00eafd10 , 00f4c414>e91baff0
00eafd14 , 00f4c418>e92d4001
00eafd18 , 00f4c434>e1a0f00e
00eafd1c , 00f4c438>e92d4001
00eafd20 , 00f4c444>e92d4001
